MacroPlot Name,Monitoring Status,Date,Index,Transect,Slope,LogNum,Dia,DecayCl,CWDFuConSt,Comment,UV1,UV2,UV3,NumTran,TranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
C:FSEGI1T08:031,Post01,10/5/2022 4:28:22 PM,,,,,,,,,,,,4,50,JAJ MJH CAF BJL,JO,,,,,True,
C:FSEGI1T08:031,Post01,10/5/2022 4:28:22 PM,1,2,6,1,4,3,Default,,,,,,,,,,,,,,
C:FSEGI1T08:031,Post01,10/5/2022 4:28:22 PM,2,4,15,2,4.1,3,Default,,,,,,,,,,,,,,
C:FSEGI1T08:031,Post01,10/5/2022 4:28:22 PM,3,4,15,3,13.3,3,Default,,,,,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,1,1,10,,4,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,2,1,10,,5.5,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,3,1,10,,3,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,4,2,6,,5,4,Default,From FMH DFROTTEN 1056,, Rotten, fuel2,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,5,2,6,,48,4,Default,From FMH DFROTTEN 1056,, Rotten, fuel2,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,6,3,22,,3,3,Default,From FMH DFSOUND 1055,, Sound, fuel3,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,7,4,25,,3.5,3,Default,From FMH DFSOUND 1055,, Sound, fuel4,,,,,,,,,,
C:FSEGI1T08:031,Pre00,7/31/1986 2:00:00 AM,8,4,25,,4,3,Default,From FMH DFSOUND 1055,, Sound, fuel4,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,,,,,,,,,,,,4,50,,,,,,,True,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,1,1,10,,3.5,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,2,1,10,,20,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,3,1,10,,3.3,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,4,1,10,,4,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,5,1,10,,7,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,6,1,10,,4,3,Default,From FMH DFSOUND 1055,, Sound, fuel1,,,,,,,,,,
C:FSEGI1T08:031,Re00Year02,8/11/1988 2:00:00 AM,7,2,6,,15,4,Default,From FMH DFROTTEN 1056,, Rotten, fuel2,,,,,,,,,,
